country,fossil_share_elec,renewables_share_elec,low_carbon_share_elec,oil_share_elec,solar_share_elec,electricity_demand_per_capita,per_capita_electricity,fossil_elec_per_capita,renewables_elec_per_capita,low_carbon_elec_per_capita,electricity_generation,net_elec_imports_share_demand,carbon_intensity_elec,greenhouse_gas_emissions,Cluster,PCA1,PCA2,PCA3,Period
Austria,-0.9103654305660835,1.0543985888689424,0.9103654577417372,-0.7646514353947118,-0.3125584968829438,0.7710789522483593,0.689325226589654,0.06193447574876211,0.9083565606713956,0.7952952246435743,-0.0907031796439309,0.105303650543528,-0.9057351015024171,-0.13497914348237794,2,-2.29014160247381,1.325615750663873,0.5287274526366869,2002-2006
Azerbaijan,0.6704777018182837,-0.5784740553445801,-0.6704776595476643,-0.157334335188896,-0.32272752834912005,-0.23490539186289422,-0.2533182006809386,-0.06140160204474086,-0.20825805819051588,-0.26234780041036093,-0.1732680628920241,0.10821842577455927,0.5612824810371542,-0.1424239332294496,0,1.0364089370065868,-0.2506012247918524,0.03007250239651986,2002-2006
Bahamas,1.0164065072046917,-0.9357882452155006,-1.0164064616309085,1.6440363218144678,-0.32272752834912005,0.371991522367043,0.3780591999162863,1.024738797248449,-0.28052105020964396,-0.33079437829634384,-0.21451714833659463,-0.021621147758988633,0.7205028377831841,-0.18432155552824728,0,2.3092282946957163,0.6431087173173085,-0.4471026075443839,2002-2006
Bahrain,1.0164065072046917,-0.9357882452155006,-1.0164064616309085,-0.8857152411601668,-0.32272752834912005,3.1895086699062474,3.1755262554419894,5.445379788742935,-0.28052105020964396,-0.33079437829634384,-0.18222836660377809,-0.021621147758988633,1.71280053227401,-0.13440010427982793,1,2.8811602310237396,5.929101768793019,0.43002234731293754,2002-2006
Bangladesh,0.8654450124473906,-0.7798582290936699,-0.8654449683150907,-0.7447063106669325,-0.32010582492424644,-0.7165717943924024,-0.7027576530168034,-0.6858132273099335,-0.2783854871725408,-0.3287716004170275,-0.16815622838731942,-0.021621147758988633,0.6967924838350334,-0.13435185101294878,0,1.0757863554346285,-0.9352586909307732,-0.07504953786764419,2002-2006
Barbados,1.0164065072046917,-0.9357882452155006,-1.0164064616309085,1.6114621657780461,-0.32272752834912005,-0.09110552627237632,-0.08174234493373786,0.29814666344598817,-0.28052105020964396,-0.33079437829634384,-0.21678953806340057,-0.021621147758988633,0.7344011753665518,-0.18678247213908486,0,2.1634955537230334,-0.1578772062210691,-0.5085438798333541,2002-2006
Belarus,1.0129626775887914,-0.9322310705307146,-1.0129626320478926,-0.7861218054496216,-0.32272752834912005,-0.09216215131083055,-0.17756976052839302,0.14569690043553463,-0.27968718049113395,-0.3300045476092938,-0.15740303002872774,0.312143387875585,0.1421890538297772,-0.13673694106154766,0,1.2396584916619837,0.013930296517399701,0.33952312586801914,2002-2006
Belgium,-0.7464642085864747,-0.8697863177019467,0.7464642373271686,-0.7568828525285259,-0.32272752834912005,0.9059009442978555,0.7695939280802186,0.23829264257386923,-0.2389073887991265,0.756964556208322,-0.04562647260448362,0.1700708670443027,-0.9506894803470273,-0.11912449865065129,2,-1.0772975569956076,1.3576009235900763,0.5839994866439268,2002-2006
Belize,-0.6196035526316083,0.7540670083766673,0.6196035825836541,0.25043491886840896,-0.32272752834912005,-0.48664579138174185,-0.6233390118361138,-0.6579705838415927,-0.19857243869521532,-0.25317370602767053,-0.21838229563338193,1.2748617663311264,-0.7407454406485673,-0.18873328278577123,2,-1.1147314725020951,-1.2083786689988225,1.3254911483343532,2002-2006
Benin,1.0164065072046917,-0.9357882452155006,-1.0164064616309085,1.6440363218144678,-0.32272752834912005,-0.734033239670742,-0.7335723771921248,-0.7318946213644608,-0.28052105020964396,-0.33079437829634384,-0.21851988987372067,1.9294018704769904,0.6648610330479123,-0.1886781361950522,0,2.2331808387936705,-1.4604780436605094,1.2485162741111915,2002-2006
Bermuda,0.9719470846590411,-0.8898655515812337,-0.971947039509787,1.6061644803418118,-0.32272752834912005,1.2977486392728357,1.297228418894882,2.429420042175578,-0.24144075135288148,-0.2937780211712634,-0.21731906741258283,-0.021621147758988633,0.6842573300890117,-0.1873890846369944,0,2.483723412906335,2.2521432968854183,-0.30148573596084893,2002-2006
Bhutan,-1.9678479259843549,2.146685485101799,1.967847943062446,-0.8980392234033829,-0.32272752834912005,-0.46174773118990087,0.08501001424974633,-0.7354921989388783,0.7796101044668019,0.6733482349615056,-0.21284100031792313,-4.77397087983095,-1.8382134142493274,-0.18865745622353253,2,-5.015866598868547,0.15584025727484363,-3.9701439253934714,2002-2006
Bolivia,-0.37485887805690826,0.501267172805885,0.37485891034594276,-0.8678393659261948,-0.32272752834912005,-0.6549520971498483,-0.6416609531401365,-0.6557796721695353,-0.22402562949768612,-0.2772826414319359,-0.20916765105312313,-0.019480609698700038,-0.30914350961615966,-0.18250171803451867,2,-1.0986649695489303,-1.0154196772552968,0.24096018432777488,2002-2006
Bosnia and Herzegovina,-0.34028927470284626,0.4655597971138893,0.3402893073219749,-0.8681698357470731,-0.32272752834912005,-0.2579083673429093,-0.17851680147351373,-0.25522596542372916,0.04675593306218208,-0.02080182332608995,-0.1934193648179929,-0.33915858316205527,0.2781747173386736,-0.16596463414264376,2,-0.8617772076581215,-0.1720884309555582,-0.0780933631262304,2002-2006
Botswana,1.0164065072046917,-0.9357882452155006,-1.0164064616309085,-0.8339687513617122,-0.32272752834912005,-0.46439835057208045,-0.6294219286759277,-0.5673129720171317,-0.28052105020964396,-0.33079437829634384,-0.21654770576219917,1.3928646198249082,1.5133646371795468,-0.18582430012534137,0,1.8427012633265791,-0.7811127522804979,1.229666016025499,2002-2006
Brazil,-1.664713329169878,1.732548974486209,1.6647133491425046,-0.8132508356681866,-0.32272752834912005,-0.31315808685363783,-0.34171365933947495,-0.6721815009173258,0.1601835797203222,0.10233466984353334,0.5818783147438411,0.18612034816016865,-1.543923989761811,-0.06051745936398169,2,-3.4365896150651984,-0.551780534969797,0.828737311957878,2002-2006
British Virgin Islands,1.0164065072046917,-0.9357882452155006,-1.0164064616309085,1.6440363218144678,-0.32272752834912005,0.5231884128696214,0.5281801390020722,1.261964388768261,-0.28052105020964396,-0.33079437829634384,-0.2184031432455545,-0.021621147758988633,0.7191638811467387,-0.18854716304209443,0,2.3550518132676794,0.9049134911329643,-0.42607498625912976,2002-2006
Brunei,1.0164065072046917,-0.9357882452155006,-1.0164064616309085,-0.873665803075834,-0.32272752834912005,0.9170929154194558,0.9192815276373898,1.8799944838918659,-0.28052105020964396,-0.33079437829634384,-0.2121613681610986,-0.021621147758988633,1.7100208647573367,-0.17910330938145724,0,2.183963109844978,1.966418198001938,0.09189739386284289,2002-2006
Bulgaria,-0.4982876414136072,-0.6965389641631934,0.4982876725240598,-0.8472078808012066,-0.32272752834912005,0.1345552655116298,0.301575702703251,0.07106464341483272,-0.17577511584088595,0.31389998849793893,-0.1290544469965196,-0.4338386804712885,-0.048051810949507494,-0.1196690712340019,0,-0.6110296388660518,0.5789729789864835,-0.12349120379330812,2002-2006
Burkina Faso,0.45571284727940087,-0.3566407508685653,-0.45571280705950235,1.1664210000767572,-0.32272752834912005,-0.7417016624498224,-0.7292516167070481,-0.7270246829736253,-0.2789208357460098,-0.32927867570973607,-0.217740189178468,0.40967449970767056,0.22853318269314146,-0.18802327043026346,0,0.9165685694157365,-1.356676892155561,0.03511790952888745,2002-2006
Burundi,-1.9678479259843549,2.146685485101799,1.967847943062446,-0.8980392234033829,-0.32272752834912005,-0.7456069715205216,-0.7331665079216938,-0.7354921989388783,-0.2770566466585516,-0.32751293974996387,-0.21851155082885168,0.8330956997142469,-1.9352813098047044,-0.18889182923408848,2,-3.8509557304763598,-1.5078238762329055,1.4507802032847457,2002-2006
Cambodia,0.8449312474736489,-0.7586754696189295,-0.8449371720460379,1.4979686609862497,-0.32272752834912005,-0.7376172048011749,-0.723998119541126,-0.717820227806893,-0.2796587102374785,-0.3299775809507068,-0.21701469227486386,0.037516909076856876,0.5717171364650853,-0.1871409249787587,0,1.636518346854765,-1.299851429120154,-0.4802045466393804,2002-2006
Cameroon,-1.7900162043106196,1.963000875512191,1.7900162230867689,-0.7465569416638511,-0.32272752834912005,-0.7046137796714945,-0.6908847342448812,-0.731052276653568,-0.22607881990760376,-0.27922739701678606,-0.21037681255912993,-0.021621147758988633,-1.6662463195360764,-0.18791987057266527,2,-3.5939872658843646,-1.3483916891745842,0.5576019715432156,2002-2006
Canada,-1.1799271650071836,0.8959656040780939,1.1799271896088785,-0.8294184361357722,-0.32161529053250704,2.763985933705716,2.848630828074757,0.7598151800581944,2.4707388594089514,2.8964948855697523,1.0385952936523544,-0.0840155550482519,-0.9875027121156392,0.29863849934150644,1,-3.0663812016696514,5.17441787477991,0.5809221481279868,2002-2006
Cape Verde,0.9091225603315454,-0.8249733146105939,-0.9091225157821825,1.5526487059638858,-0.32272752834912005,-0.6643977899936097,-0.6509549306845004,-0.6062575496945299,-0.27650204023708513,-0.32698762367098216,-0.2182655490052158,-0.021621147758988633,0.6628065664115329,-0.1884092965652968,0,1.7908347313374873,-1.1633184316138463,-0.5552977563444447,2002-2006
Cayman Islands,1.0164065072046917,-0.9357882452155006,-1.0164064616309085,1.6440363218144678,-0.32272752834912005,1.3419122412372448,1.3410777426360663,2.54652946037972,-0.28052105020964396,-0.33079437829634384,-0.21768598538681938,-0.021621147758988633,0.7518237631076078,-0.18775443080050808,0,2.6208295546319156,2.3299020226757303,-0.3096044532302461,2002-2006
Chad,1.0164065072046917,-0.9357882452155006,-1.0164064616309085,1.6440363218144678,-0.32272752834912005,-0.7476331312371177,-0.7335979503330308,-0.7319350328054988,-0.28052105020964396,-0.33079437829634384,-0.2184823641718101,-0.021621147758988633,0.7590781946306404,-0.188629882928173,0,1.9815602516019384,-1.3034538686565884,-0.6116941930121689,2002-2006
Chile,-0.45731979655478794,0.5864420869220126,0.4573198280564295,-0.8047704716493398,-0.32272752834912005,-0.15287960923483482,-0.16698126603829075,-0.28031163725734354,0.08215602286510096,0.012728687052236265,-0.11850138571478423,0.07023981538148144,-0.5182945122718033,-0.13061566949173317,2,-1.3016198532699024,-0.17100546084536677,0.38253518939454756,2002-2006
China,0.47473448503654775,-0.4386653768323086,-0.47474041314382714,-0.8357431200922741,-0.321456399415848,-0.423389376222479,-0.41063976222197773,-0.31456429074040726,-0.2130888379084374,-0.2588189276868249,4.423576217359491,-0.029195009023371465,1.2229337982221484,5.817667938560918,0,0.9312672319957264,0.9256529071054952,1.1330592540570612,2002-2006
Colombia,-1.352643874582433,1.5112335255968876,1.3526438975349109,-0.8856593154981718,-0.3145446358411813,-0.532825655562387,-0.51408474870722,-0.6634610836786335,-0.052984283885470496,-0.11527447574359928,-0.11718381662548023,-0.08694854762447711,-1.2707760283536078,-0.16135989381760313,2,-2.92268361271341,-0.922887917039275,0.4293472741396405,2002-2006
Comoros,1.0164065072046917,-0.9357882452155006,-1.0164064616309085,1.6440363218144678,-0.32272752834912005,-0.7361546293908039,-0.7222011321131667,-0.7139254402722011,-0.28052105020964396,-0.33079437829634384,-0.21863246697945232,-0.021621147758988633,0.7835492826870729,-0.18879532270033014,0,1.9956257519094405,-1.2826677219154474,-0.6114397661185405,2002-2006
Congo,-1.5567191297416325,1.722025409170906,1.5567191507454612,-0.8980392234033829,-0.32272752834912005,-0.7067252336769091,-0.7137720123934456,-0.7306933702944389,-0.25593083640738934,-0.3075028436225032,-0.21785693580663415,1.0825959051542255,-1.358297599180746,-0.18868502951889204,2,-3.010496183036763,-1.4097622115531354,1.5773015445684067,2002-2006
Cook Islands,1.0164065072046917,-0.9357882452155006,-1.0164064616309085,1.6440363218144678,-0.32272752834912005,-0.3711701643220411,-0.35981397940309495,-0.1412704383493745,-0.28052105020964396,-0.33079437829634384,-0.21865748411405933,-0.021621147758988633,0.7566312473396698,-0.18882289599568966,0,2.0962364763147865,-0.6489777554294566,-0.5572757264845022,2002-2006
