country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Taiwan,2002,TWN,22469622.0,612808785920.0,,0.0,0.0,0.0,71.207,1.6,0.805,0.0,654.378,8.422,28.888,16550.605,371.886,4724.156,106.15,,0.0,0.0,0.0,53.387,33.934,198.83,8848.836,198.83,19.573,4.003,42.179,48773.605,1.788,4.0,37.376,6892.862,154.88,43252.918,971.877,77.896,88.681,11.844,8.634,81.528,1204.738,27.07,3628.344,9.412,0.829,428.75,9.634,13.615,7.439,130.11,-45.408,-6.843,8.111,123.723,2.78,360.983,1.398,0.74,4.863,4.803,124.048,1955.974,43.95,5520.688,22.104,11.319,0.0,0.0,11.459,10.744,110.784,1760.154,39.55,4930.383,19.891,10.109,-0.028,-0.146,518.463,963.968,21.66,23073.967,-4.18,-0.028,28.327,0.637,10.894,47.308,5.105,1.599,,21.137,0.891,71.178,,227.214,0.804,,0.466,8848.836,1095.924,-31.583,-5.942,13.264,195.82,4.4,590.305,2.213,1.21,31.818,0.0,0.001,0.0,0.0,0.045,0.0,0.0,29.854,0.01,0.046,0.89,0.02,2.063,0.01,0.004
Syria,2002,SYR,17164026.0,128996139008.0,,,,,1.748,0.03,0.107,,663.698,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,28.07,1635.397,28.07,,8.234,17.721,13570.627,1.806,,,1490.909,25.59,,,91.165,,,,,743.998,12.77,,10.616,5.843,3547.274,60.885,45.493,,18.63,,,,142.74,2.45,,8.728,,,,,144.488,2.48,,8.835,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,746.911,12.82,,9.493,33.013,22183.953,380.766,45.672,,,0.03,0.0,,,1.748,0.0,,0.107,0.0,,1635.397,232.927,,,,144.488,2.48,,8.835,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
Switzerland,2002,CHE,7276479.0,331802181632.0,,,,,28.86,0.21,0.321,,33.175,-7.794,-0.131,212.252,1.544,0.0,0.0,,0.0,0.0,0.0,0.0,0.426,60.9,8369.433,65.41,26.785,-6.908,-26.882,49782.922,1.092,-4.715,-8.951,285.853,2.08,24857.545,180.875,3.18,49.932,-1.848,-0.544,28.911,122.312,0.89,3973.228,,0.0,0.0,0.0,1.361,7.981,2.17,-14.885,-18.737,102.661,4833.381,35.17,14108.57,53.769,28.34,-8.273,-17.931,181.369,8703.386,63.33,24925.377,96.82,50.068,-4.51,-7.406,1.578,0.692,75.748,3742.194,27.23,10410.004,41.63,20.911,-5.215,-8.276,150.42,163.541,1.19,20672.062,,0.0,0.0,0.0,1.819,41.524,2.902,0.92,0.71,3.767,0.105,126.435,97.575,398.78,1.407,1.085,0.801,8989.238,362.244,-14.485,-18.623,105.621,4961.19,36.1,14515.373,55.19,29.157,15.385,0.006,0.044,1.374,0.01,6.017,0.015,0.012,25.0,0.003,0.015,0.0,0.0,2.006,0.0,0.004
Sweden,2002,SWE,8926011.0,317463789568.0,116.672,0.201,41.819,0.373,468.294,4.18,2.849,0.057,56.237,7.387,2.388,3890.024,34.722,265.516,2.37,,0.0,0.0,0.0,1.616,5.346,152.06,17035.605,146.7,37.696,-6.652,-46.284,72761.773,2.046,1.205,2.972,833.519,7.44,27955.479,249.531,5.072,38.421,1.766,0.161,9.279,62.738,0.56,1039.526,,0.0,0.0,0.0,0.382,1.429,8.25,-16.067,-38.576,193.688,7434.452,66.36,21699.281,45.235,29.822,-10.267,-49.256,399.941,15601.595,139.26,44806.293,94.928,61.579,5.36,3.525,-5.544,-12.509,190.772,7630.508,68.11,21372.619,46.428,29.373,0.206,0.422,205.53,505.265,4.51,23025.93,,0.0,0.0,0.0,3.074,31.646,13.327,4.18,0.0,10.537,1.27,468.294,0.0,1493.103,2.849,0.0,2.052,16435.111,649.472,-14.346,-36.746,209.169,7971.086,71.15,23433.676,48.5,32.206,0.0,-0.0,0.006,0.0,0.0,0.654,0.0,0.001,26.141,0.359,1.775,68.34,0.61,198.818,0.416,0.273
Suriname,2002,SUR,495678.0,,,,,,0.0,0.0,0.0,,284.553,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,1.23,2481.45,1.23,,10.926,0.902,18476.682,,,,988.545,0.49,,,39.837,,,,,20.174,0.01,,,0.0,0.0,0.0,0.813,,0.35,,,,1492.905,0.74,,60.163,,,,,1492.905,0.74,,60.163,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,968.371,0.48,,0.0,0.0,13653.278,6.768,39.024,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,2481.45,9.158,,,,1492.905,0.74,,60.163,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
Sudan,2002,SDN,27570326.0,,,,,,4.353,0.12,4.0,,373.333,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,3.0,108.813,3.0,,18.389,6.144,1434.762,,,,58.396,1.61,,,53.667,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,1.12,,,,46.064,1.27,,42.333,,,,,50.417,1.39,,46.333,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,58.396,1.61,,13.003,15.568,4907.54,135.302,53.667,,,0.12,0.0,,,4.353,0.0,,4.0,0.0,,108.813,39.557,,,,50.417,1.39,,46.333,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
Sri Lanka,2002,LKA,19110706.0,114770993152.0,,,,,0.0,0.0,0.0,,410.663,12235.705,0.126,6.621,0.127,0.0,0.0,,0.0,0.0,0.0,0.0,,6.94,363.147,6.94,14.365,2.837,1.476,2799.956,0.466,,,221.865,4.24,,,61.095,,,,,,,,,0.0,0.0,0.0,,,2.85,-13.388,-1.278,7.882,141.282,2.7,412.442,38.905,,-13.347,-1.276,7.897,141.282,2.7,413.222,38.905,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,6.127,2.626,45.486,221.865,4.24,2380.113,,0.0,0.0,0.0,61.095,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,363.147,53.509,-13.347,-1.276,7.897,141.282,2.7,413.222,38.905,,66.218,0.002,0.004,0.0,0.0,0.229,0.0,,3.021,0.0,0.011,0.0,0.0,0.551,0.0,
Spain,2002,ESP,41477652.0,1191323500544.0,,0.0,0.0,0.0,62.443,2.59,1.08,0.0,481.931,12.677,28.261,6055.905,251.185,1957.199,81.18,-2.277,-2.082,2154.532,89.365,33.838,15.557,245.24,5912.582,239.91,16.756,1.736,27.548,38927.609,1.355,5.848,73.797,3464.999,143.72,32200.811,1335.614,59.906,82.72,14.337,27.34,218.034,780.902,32.39,5256.67,4.554,0.263,145.518,6.036,13.501,13.504,115.62,-44.134,-53.629,66.9,511.601,21.22,1612.909,8.845,4.143,-13.482,-46.249,279.012,2319.08,96.19,6726.795,40.094,17.28,5.33,2.173,-1.086,-3.097,176.502,1519.372,63.02,4255.343,26.268,10.931,2.145,18.196,866.395,726.897,30.15,20888.236,-9.701,-0.426,95.636,3.967,12.567,53.659,8.255,2.59,0.0,58.553,3.049,62.443,0.0,199.024,1.08,0.0,0.511,5784.079,1614.626,-29.455,-43.152,102.51,799.708,33.17,2471.452,13.826,6.349,25.0,0.017,0.088,0.482,0.02,2.111,0.008,0.005,38.216,7.411,27.268,225.182,9.34,657.408,3.893,1.689
Poland,2002,POL,38647476.0,514089680896.0,,0.0,0.0,0.0,11.126,0.43,0.302,0.0,945.61,-1.893,-12.237,16409.121,634.171,3439.811,132.94,-0.395,-3.309,21597.963,834.707,93.298,63.444,135.42,3503.98,142.49,14.333,-1.076,-10.877,25864.023,1.944,-1.076,-10.781,3615.242,139.72,25652.027,991.386,98.056,99.18,-2.538,-3.063,117.616,56.925,2.2,3043.316,2.209,0.897,1074.048,41.509,1.544,11.767,134.74,-1.978,-0.178,6.652,58.995,2.28,172.121,1.6,0.665,-0.575,-0.096,8.193,71.674,2.77,211.997,1.944,0.82,-7.07,-5.221,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.922,4.519,239.598,118.507,4.58,6199.59,-9.578,-0.879,214.771,8.3,3.214,23.97,1.363,0.43,0.0,-3.829,-0.054,11.126,0.0,35.269,0.302,0.0,0.136,3686.916,999.579,-0.575,-0.096,8.193,71.674,2.77,211.997,1.944,0.82,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.714,0.137,0.178,1.552,0.06,4.607,0.042,0.018
Philippines,2002,PHL,81285576.0,354896576512.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.983,-6.275,-3.291,604.781,49.16,198.436,16.13,35.366,2.813,132.468,10.768,33.285,16.263,48.46,596.17,48.46,17.926,0.476,1.433,3718.809,0.852,1.007,2.524,383.709,31.19,3113.335,253.069,64.362,83.719,1156.413,15.523,16.866,107.891,8.77,207.489,898.618,18.189,248.672,20.213,18.097,5.579,22.63,-1.0,-0.342,20.528,86.485,7.03,252.543,14.507,6.791,-1.542,-1.091,49.216,212.461,17.27,605.474,35.638,16.281,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.934,-9.708,187.043,77.382,6.29,2301.064,16.45,0.879,76.588,6.226,12.98,61.876,28.688,10.24,10.24,-1.911,-0.749,125.976,125.976,352.931,21.131,21.131,9.49,596.17,302.286,-1.542,-1.091,49.216,212.461,17.27,605.474,35.638,16.281,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
