country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Turkmenistan,2021,TKM,6341850.0,95789277184.0,,,,,0.0,0.0,0.0,,1306.122,,,,,0.0,0.0,,,,,0.0,,19.34,3049.583,22.54,5.087,0.75,3.301,69868.859,4.626,,,3552.591,22.53,,,99.956,,7.313,25.05,367.582,3552.591,22.53,57961.375,20.1,132.689,125016.508,792.836,99.956,,29.44,-0.4,-0.0,0.008,1.577,0.01,1.3,0.044,,-0.313,-0.0,0.026,1.577,0.01,4.171,0.044,,-3.2,-16.546,,0.0,0.0,0.0,0.0,0.0,0.0,,-22.367,-21.749,75.489,0.0,0.0,11903.318,-5.825,-7.046,17962.705,113.917,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,3554.168,443.098,-0.313,-0.0,0.026,1.577,0.01,4.171,0.044,,-0.273,-0.0,0.018,0.0,0.0,2.872,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,
El Salvador,2021,SLV,6314165.0,57771999232.0,,,,,142.537,0.9,14.173,,155.906,,,,,0.0,0.0,,,,,0.0,,7.63,1208.394,6.35,,5.732,2.422,7076.433,0.773,,,156.79,0.99,,,15.591,,,,,0.0,0.0,,,,,,0.0,,0.99,,,,288.241,1.82,,28.661,,,,,848.885,5.36,,84.409,,1.28,16.776,,,,0.0,0.0,,0.0,,,,,156.79,0.99,,,,,,15.591,,,2.46,1.56,,,389.6,247.064,,38.74,24.567,,1005.675,44.682,,,,848.885,5.36,,84.409,,,,,171.044,1.08,,17.008,,,,,0.0,0.0,,0.0,
Egypt,2021,EGY,109262184.0,1400985616384.0,,,,,0.0,0.0,0.0,,570.379,61.609,5.381,129.175,14.114,0.0,0.0,,,,,0.0,1.333,208.18,1905.325,209.65,20.561,7.044,69.674,9689.934,0.756,7.619,70.436,1692.351,184.91,9105.887,994.929,88.199,93.973,6.546,38.169,621.248,1592.5,174.0,5685.85,15.965,93.343,6205.206,677.994,82.995,58.678,119.58,-6.533,-2.691,36.45,130.695,14.28,333.602,6.811,3.443,-0.817,-0.762,63.814,226.428,24.74,584.046,11.801,6.027,-1.47,-0.706,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.082,26.887,359.567,99.852,10.91,3290.862,-4.716,-17.038,3150.805,344.264,5.204,33.962,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,1918.779,1058.743,-0.817,-0.762,63.814,226.428,24.74,584.046,11.801,6.027,11.679,1.318,13.011,46.494,5.08,119.084,2.423,1.229,4.83,0.611,14.353,49.239,5.38,131.36,2.566,1.356
Ecuador,2021,ECU,17797736.0,169866625024.0,62.264,0.085,12.409,0.221,23.037,0.41,1.276,0.104,149.128,95.861,0.269,30.894,0.55,0.0,0.0,,,,,0.0,0.259,31.96,1795.734,32.12,18.875,16.261,29.734,11945.164,1.252,22.951,26.856,339.369,6.04,8083.739,143.872,18.804,67.674,5.666,0.334,6.238,63.491,1.13,350.513,,,,,3.518,2.934,4.79,5.101,3.014,66.92,1436.7,25.57,3760.057,79.608,31.478,5.007,2.878,68.725,1465.355,26.08,3861.425,81.196,32.326,-0.16,-0.501,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.687,26.252,137.084,275.878,4.91,7702.332,-1.623,-4.864,16561.998,294.766,15.286,64.481,1.325,0.41,0.0,-11.826,-0.178,23.037,0.0,74.422,1.276,0.0,0.623,1804.724,212.597,5.007,2.878,68.725,1465.355,26.08,3861.425,81.196,32.326,-2.357,-0.003,0.096,2.247,0.04,5.421,0.125,0.045,-19.572,-0.04,0.162,3.371,0.06,9.117,0.187,0.076
Turkey,2021,TUR,84775408.0,2260196130816.0,10.77,0.125,15.18,1.287,72.545,6.15,1.876,0.066,470.995,2.108,9.955,5689.409,482.322,1228.186,104.12,14.082,25.747,2460.35,208.577,31.756,24.72,326.03,3845.809,327.88,18.689,7.102,129.375,23015.531,0.863,10.458,154.987,2498.484,211.81,19310.203,1637.03,64.6,83.901,24.022,111.005,573.104,1266.169,107.34,6760.259,,,,,32.738,29.373,154.43,-28.386,-58.756,146.342,654.789,55.51,1726.236,16.93,7.5,-7.464,-25.612,314.121,1369.147,116.07,3705.331,35.4,16.099,-1.85,-0.567,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.214,34.027,581.605,4.129,0.35,6860.534,,,,,0.107,29.808,47.748,16.26,10.11,19.143,8.239,191.801,119.256,563.228,4.959,3.083,2.447,3867.631,1951.151,-7.464,-25.612,314.121,1369.147,116.07,3705.331,35.4,16.099,27.33,7.726,36.484,156.649,13.28,430.36,4.05,1.87,26.617,17.054,82.26,365.908,31.02,970.326,9.461,4.216
Dominican Republic,2021,DOM,11117873.0,182166945792.0,,,,,15.291,0.17,0.825,,578.845,,,,,518.085,5.76,,,,,27.948,,20.61,1853.772,20.61,,6.3,6.58,9987.583,0.61,,,1584.836,17.62,,,85.492,,,,,693.478,7.71,,,,,,37.409,,11.93,,,,89.945,1.0,,4.852,,,,,268.936,2.99,,14.508,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,373.273,4.15,,,,,,20.136,,,0.17,0.0,,,15.291,0.0,,0.825,0.0,,1853.772,111.041,,,,268.936,2.99,,14.508,,,,,47.671,0.53,,2.572,,,,,116.029,1.29,,6.259,
Dominica,2021,DMA,72435.0,637252096.0,,,,,0.0,0.0,0.0,,500.0,,,,,0.0,0.0,,,,,0.0,,0.16,2208.877,0.16,,5.505,0.04,10547.773,1.199,,,1656.658,0.12,,,75.0,,,,,0.0,0.0,,,,,,0.0,,0.08,,,,552.219,0.04,,25.0,,,,,552.219,0.04,,25.0,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,1656.658,0.12,,,,,,75.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,2208.877,0.764,,,,552.219,0.04,,25.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
Djibouti,2021,DJI,1105562.0,3274020608.0,,,,,0.0,0.0,0.0,,692.308,,,,,0.0,0.0,,,,,0.0,,0.64,578.891,0.13,,4.539,0.134,2785.072,0.94,,,117.587,0.13,,,100.0,,,,,0.0,0.0,,,,,,0.0,,0.09,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,0.51,79.688,,,,0.0,0.0,,0.0,,,,,117.587,0.13,,,,,,100.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,117.587,3.079,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
Denmark,2021,DNK,5854246.0,288414400512.0,2.055,0.061,516.549,3.024,1489.517,8.72,26.488,1.596,222.965,33.186,3.09,2118.04,12.4,746.467,4.37,,,,,13.275,6.546,37.79,6455.144,32.92,23.146,7.338,12.95,32358.58,0.657,4.152,4.509,1164.966,6.82,19319.908,113.104,20.717,59.706,2.019,0.469,23.695,263.057,1.54,4047.44,5.788,0.799,2493.156,14.596,4.678,12.508,7.34,-4.512,-0.002,0.043,3.416,0.02,7.283,0.061,0.023,10.269,8.441,76.332,4458.303,26.1,13038.673,79.283,40.294,4.87,12.887,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.951,77.009,155.443,0.91,13154.429,-8.052,-3.297,6430.106,37.643,2.764,40.652,27.831,8.72,0.0,47.292,8.936,1489.517,0.0,4753.909,26.488,0.0,14.691,5623.269,189.435,10.269,8.441,76.332,4458.303,26.1,13038.673,79.283,40.294,10.876,0.325,3.425,223.769,1.31,585.053,3.979,1.808,-1.689,-0.879,42.009,2741.6,16.05,7175.878,48.755,22.176
Democratic Republic of Congo,2021,COD,95894120.0,85639643136.0,,,,,0.313,0.03,0.272,,24.457,,,,,0.0,0.0,,,,,0.0,,12.45,129.831,11.04,,-4.386,-1.808,410.887,0.46,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,,,0.0,,0.27,,,,114.71,11.0,,99.638,,,,,115.127,11.04,,100.0,,1.41,11.325,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,,,0.03,0.0,,,0.313,0.0,,0.272,0.0,,115.127,39.402,,,,115.127,11.04,,100.0,,,,,0.104,0.01,,0.091,,,,,0.0,0.0,,0.0,
